,latitude,longitude,erro
0,-90.0,-180.0,1.2214183759051602
1,-90.0,-179.0,1.3130383072664293
2,-90.0,-178.0,1.3980802675275863
3,-90.0,-177.0,1.47674279574372
4,-90.0,-176.0,1.5492260132718767
5,-90.0,-175.0,1.6157312027689112
6,-90.0,-174.0,1.6764604033708974
7,-90.0,-173.0,1.7316160222981944
8,-90.0,-172.0,1.7814004630686018
9,-90.0,-171.0,1.8260157704415256
10,-90.0,-170.0,1.8656632921599319
11,-90.0,-169.0,1.9005433575033888
12,-90.0,-168.0,1.930854972614679
13,-90.0,-167.0,1.956795532515086
14,-90.0,-166.0,1.9785605496789294
15,-90.0,-165.0,1.996343398996146
16,-90.0,-164.0,2.010335078913225
17,-90.0,-163.0,2.020723988507357
18,-90.0,-162.0,2.027695720215621
19,-90.0,-161.0,2.031432867911536
20,-90.0,-160.0,2.0321148499942354
21,-90.0,-159.0,2.0299177471312335
22,-90.0,-158.0,2.02501415427426
23,-90.0,-157.0,2.0175730465486725
24,-90.0,-156.0,2.0077596586004915
25,-90.0,-155.0,1.9957353769710433
26,-90.0,-154.0,1.9816576450574088
27,-90.0,-153.0,1.9656798802074023
28,-90.0,-152.0,1.947951402490206
29,-90.0,-151.0,1.9286173746784379
30,-90.0,-150.0,1.907818752973623
31,-90.0,-149.0,1.8856922480054246
32,-90.0,-148.0,1.862370295634498
33,-90.0,-147.0,1.837981037090355
34,-90.0,-146.0,1.8126483079782625
35,-90.0,-145.0,1.7864916356933214
36,-90.0,-144.0,1.7596262447850584
37,-90.0,-143.0,1.7321630698223733
38,-90.0,-142.0,1.7042087753159747
39,-90.0,-141.0,1.6758657822637555
40,-90.0,-140.0,1.647232300893755
41,-90.0,-139.0,1.618402369189109
42,-90.0,-138.0,1.5894658967899284
43,-90.0,-137.0,1.5605087138780924
44,-90.0,-136.0,1.531612624662438
45,-90.0,-135.0,1.5028554650937715
46,-90.0,-134.0,1.4743111644514
47,-90.0,-133.0,1.4460498104553312
48,-90.0,-132.0,1.4181377175711
49,-90.0,-131.0,1.3906374981869802
50,-90.0,-130.0,1.363608136356288
51,-90.0,-129.0,1.3371050638105078
52,-90.0,-128.0,1.3111802379618946
53,-90.0,-127.0,1.285882221627142
54,-90.0,-126.0,1.261256264216542
55,-90.0,-125.0,1.2373443841456875
56,-90.0,-124.0,1.2141854522393754
57,-90.0,-123.0,1.1918152759096114
58,-90.0,-122.0,1.1702666839017704
59,-90.0,-121.0,1.1495696114147893
60,-90.0,-120.0,1.1297511854129056
61,-90.0,-119.0,1.1108358099576845
62,-90.0,-118.0,1.0928452514001497
63,-90.0,-117.0,1.075798723283479
64,-90.0,-116.0,1.0597129708171145
65,-90.0,-115.0,1.0446023547931127
66,-90.0,-114.0,1.0304789348253276
67,-90.0,-113.0,1.0173525518012616
68,-90.0,-112.0,1.0052309094455072
69,-90.0,-111.0,0.994119654902231
70,-90.0,-110.0,0.9840224582525372
71,-90.0,-109.0,0.9749410908903738
72,-90.0,-108.0,0.9668755026883503
